clock_region,category,loc,x,y
X0Y0,SLICE,SLICE_X15Y47,15,47
X0Y0,SLICE,SLICE_X15Y48,15,48
X0Y0,SLICE,SLICE_X15Y49,15,49
X0Y0,SLICE,SLICE_X15Y5,15,5
X0Y0,SLICE,SLICE_X15Y50,15,50
X0Y0,SLICE,SLICE_X15Y51,15,51
X0Y0,SLICE,SLICE_X15Y52,15,52
X0Y0,SLICE,SLICE_X15Y53,15,53
X0Y0,SLICE,SLICE_X15Y54,15,54
X0Y0,SLICE,SLICE_X15Y55,15,55
X0Y0,SLICE,SLICE_X15Y56,15,56
X0Y0,SLICE,SLICE_X15Y57,15,57
X0Y0,SLICE,SLICE_X15Y58,15,58
X0Y0,SLICE,SLICE_X15Y59,15,59
X0Y0,SLICE,SLICE_X15Y6,15,6
X0Y0,SLICE,SLICE_X15Y7,15,7
X0Y0,SLICE,SLICE_X15Y8,15,8
X0Y0,SLICE,SLICE_X15Y9,15,9
X0Y0,SLICE,SLICE_X16Y0,16,0
X0Y0,SLICE,SLICE_X16Y1,16,1
X0Y0,SLICE,SLICE_X16Y10,16,10
X0Y0,SLICE,SLICE_X16Y11,16,11
X0Y0,SLICE,SLICE_X16Y12,16,12
X0Y0,SLICE,SLICE_X16Y13,16,13
X0Y0,SLICE,SLICE_X16Y14,16,14
X0Y0,SLICE,SLICE_X16Y15,16,15
X0Y0,SLICE,SLICE_X16Y16,16,16
X0Y0,SLICE,SLICE_X16Y17,16,17
X0Y0,SLICE,SLICE_X16Y18,16,18
X0Y0,SLICE,SLICE_X16Y19,16,19
X0Y0,SLICE,SLICE_X16Y2,16,2
X0Y0,SLICE,SLICE_X16Y20,16,20
X0Y0,SLICE,SLICE_X16Y21,16,21
X0Y0,SLICE,SLICE_X16Y22,16,22
X0Y0,SLICE,SLICE_X16Y23,16,23
X0Y0,SLICE,SLICE_X16Y24,16,24
X0Y0,SLICE,SLICE_X16Y25,16,25
X0Y0,SLICE,SLICE_X16Y26,16,26
X0Y0,SLICE,SLICE_X16Y27,16,27
X0Y0,SLICE,SLICE_X16Y28,16,28
X0Y0,SLICE,SLICE_X16Y29,16,29
X0Y0,SLICE,SLICE_X16Y3,16,3
X0Y0,SLICE,SLICE_X16Y30,16,30
X0Y0,SLICE,SLICE_X16Y31,16,31
X0Y0,SLICE,SLICE_X16Y32,16,32
X0Y0,SLICE,SLICE_X16Y33,16,33
X0Y0,SLICE,SLICE_X16Y34,16,34
X0Y0,SLICE,SLICE_X16Y35,16,35
X0Y0,SLICE,SLICE_X16Y36,16,36
X0Y0,SLICE,SLICE_X16Y37,16,37
X0Y0,SLICE,SLICE_X16Y38,16,38
X0Y0,SLICE,SLICE_X16Y39,16,39
X0Y0,SLICE,SLICE_X16Y4,16,4
X0Y0,SLICE,SLICE_X16Y40,16,40
X0Y0,SLICE,SLICE_X16Y41,16,41
X0Y0,SLICE,SLICE_X16Y42,16,42
X0Y0,SLICE,SLICE_X16Y43,16,43
X0Y0,SLICE,SLICE_X16Y44,16,44
X0Y0,SLICE,SLICE_X16Y45,16,45
X0Y0,SLICE,SLICE_X16Y46,16,46
X0Y0,SLICE,SLICE_X16Y47,16,47
X0Y0,SLICE,SLICE_X16Y48,16,48
X0Y0,SLICE,SLICE_X16Y49,16,49
X0Y0,SLICE,SLICE_X16Y5,16,5
X0Y0,SLICE,SLICE_X16Y50,16,50
X0Y0,SLICE,SLICE_X16Y51,16,51
X0Y0,SLICE,SLICE_X16Y52,16,52
X0Y0,SLICE,SLICE_X16Y53,16,53
X0Y0,SLICE,SLICE_X16Y54,16,54
X0Y0,SLICE,SLICE_X16Y55,16,55
X0Y0,SLICE,SLICE_X16Y56,16,56
X0Y0,SLICE,SLICE_X16Y57,16,57
X0Y0,SLICE,SLICE_X16Y58,16,58
X0Y0,SLICE,SLICE_X16Y59,16,59
X0Y0,SLICE,SLICE_X16Y6,16,6
X0Y0,SLICE,SLICE_X16Y7,16,7
X0Y0,SLICE,SLICE_X16Y8,16,8
X0Y0,SLICE,SLICE_X16Y9,16,9
X0Y0,SLICE,SLICE_X17Y0,17,0
X0Y0,SLICE,SLICE_X17Y1,17,1
X0Y0,SLICE,SLICE_X17Y10,17,10
X0Y0,SLICE,SLICE_X17Y11,17,11
X0Y0,SLICE,SLICE_X17Y12,17,12
X0Y0,SLICE,SLICE_X17Y13,17,13
X0Y0,SLICE,SLICE_X17Y14,17,14
X0Y0,SLICE,SLICE_X17Y15,17,15
X0Y0,SLICE,SLICE_X17Y16,17,16
X0Y0,SLICE,SLICE_X17Y17,17,17
X0Y0,SLICE,SLICE_X17Y18,17,18
X0Y0,SLICE,SLICE_X17Y19,17,19
X0Y0,SLICE,SLICE_X17Y2,17,2
X0Y0,SLICE,SLICE_X17Y20,17,20
X0Y0,SLICE,SLICE_X17Y21,17,21
X0Y0,SLICE,SLICE_X17Y22,17,22
X0Y0,SLICE,SLICE_X17Y23,17,23
X0Y0,SLICE,SLICE_X17Y24,17,24
X0Y0,SLICE,SLICE_X17Y25,17,25
X0Y0,SLICE,SLICE_X17Y26,17,26
X0Y0,SLICE,SLICE_X17Y27,17,27
X0Y0,SLICE,SLICE_X17Y28,17,28
X0Y0,SLICE,SLICE_X17Y29,17,29
X0Y0,SLICE,SLICE_X17Y3,17,3
X0Y0,SLICE,SLICE_X17Y30,17,30
