idx,stages,II,est_fmax_mhz,latency,rank,exec_cnt,serial_mem
635,1,1,1000.0,1,20,868413,True
636,1,1,500.0,1,20,1974709,False
637,2,1,1000.0,2,20,2078870,True
638,3,1,500.0,3,20,2078870,True
639,2,1,437.5,2,20,2078870,True
640,8,1,200.0,8,20,2078870,True
641,2,1,1000.0,2,20,1895042,True
642,3,1,500.0,3,20,1895042,True
643,2,1,437.5,2,20,1895042,True
644,8,1,200.0,8,20,1895042,True
645,3,1,212.1,3,20,832470,True
646,3,1,218.7,3,20,832470,False
647,4,1,233.3,4,20,832470,True
648,3,1,1166.7,3,20,1806716,True
649,5,1,437.5,5,20,1806716,True
650,5,1,437.5,5,20,1806716,True
651,6,1,1166.7,6,20,4849305,True
652,2,1,1000.0,2,20,504,True
653,2,1,1166.7,2,20,504,True
654,2,1,318.2,2,20,504,True
655,2,1,1166.7,2,20,6176288,True
656,4,1,250.0,4,20,1066418,True
657,3,1,437.5,3,20,2698773,True
658,1,1,538.5,1,20,553280,True
659,2,1,1166.7,2,20,553280,True
660,2,1,1000.0,2,20,553280,True
661,2,1,304.3,2,20,1923851,True
662,2,1,1166.7,2,20,5951364,True
663,15,1,218.7,15,20,1808539,True
664,1,1,291.7,1,20,558990,False
665,6,1,205.9,6,20,2215134,True
666,9,1,233.3,9,20,376670,True
667,3,1,1000.0,3,20,376670,True
668,4,1,1166.7,4,20,376670,True
669,2,1,437.5,2,20,1579844,True
670,1,1,538.5,1,21,792840,True
671,2,1,411.8,2,21,1397298,True
672,2,1,225.8,2,21,1397298,False
673,13,1,218.7,13,21,1733343,True
674,13,1,218.7,13,21,2050973,True
675,2,1,318.2,2,21,7246153,True
676,1,1,318.2,1,21,3093662,True
677,2,1,1166.7,2,21,3093662,True
678,2,1,1166.7,2,21,809791,True
679,4,1,437.5,4,21,809791,True
