benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
519.lbm_r,1,region_5,148327900,147819350,0.81,0.81,0.34
519.lbm_r,1,region_6,147779100,147256200,0.81,0.81,0.35
519.lbm_r,1,region_7,235450950,239490650,0.51,0.50,-1.72
519.lbm_r,1,region_8,148104950,147590800,0.81,0.81,0.35
519.lbm_r,1,average,168971338,169527619,0.74,0.74,-0.15

520.omnetpp_r,1,region_1,171699850,170738050,0.70,0.70,0.56
520.omnetpp_r,1,region_2,130623850,130474750,0.92,0.92,0.11
520.omnetpp_r,1,region_3,168906500,167937350,0.71,0.71,0.57
520.omnetpp_r,1,region_4,170223550,169223950,0.70,0.71,0.59
520.omnetpp_r,1,region_5,1871800,1872850,0.96,0.96,-0.06
520.omnetpp_r,1,region_6,138765900,137874800,0.86,0.87,0.64
520.omnetpp_r,1,region_7,169644650,168655900,0.71,0.71,0.58
520.omnetpp_r,1,region_8,390550650,389358900,0.31,0.31,0.31
520.omnetpp_r,1,region_9,167972000,166988150,0.71,0.72,0.59
520.omnetpp_r,1,region_10,167802250,166853400,0.72,0.72,0.57
520.omnetpp_r,1,region_11,171943450,170948050,0.70,0.70,0.58
520.omnetpp_r,1,average,168182223,167356923,0.73,0.73,0.46

521.wrf_r,1,region_1,87620750,87544100,1.37,1.37,0.09
521.wrf_r,1,region_2,105289800,105280700,1.14,1.14,0.01
521.wrf_r,1,region_3,128641450,128615550,0.93,0.93,0.02
521.wrf_r,1,region_4,172343850,172357150,0.70,0.70,-0.01
521.wrf_r,1,region_5,82526500,82518450,1.45,1.45,0.01
521.wrf_r,1,region_6,115887450,115581900,1.04,1.04,0.26
521.wrf_r,1,region_7,86580550,81559100,1.39,1.47,5.80
521.wrf_r,1,region_8,89674200,87529050,1.34,1.37,2.39
521.wrf_r,1,region_9,76821500,71689800,1.56,1.67,6.68
521.wrf_r,1,region_10,98561750,94457650,1.22,1.27,4.16
521.wrf_r,1,region_11,68150250,63837900,1.76,1.88,6.33
521.wrf_r,1,region_12,179903500,179913300,0.67,0.67,-0.01
521.wrf_r,1,region_13,92098650,92076950,1.30,1.30,0.02
